[2024-03-13 09:40:25,999][12256] Saving configuration to /workspace/metta/train_dir/p2.a100.batch.17.lr.e3/config.json...
[2024-03-13 09:40:26,001][12256] Rollout worker 0 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 1 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 2 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 3 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 4 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 5 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 6 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 7 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 8 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 9 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 10 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 11 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 12 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 13 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 14 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 15 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 16 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 17 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 18 uses device cpu
[2024-03-13 09:40:26,001][12256] Rollout worker 19 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 20 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 21 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 22 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 23 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 24 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 25 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 26 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 27 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 28 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 29 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 30 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 31 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 32 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 33 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 34 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 35 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 36 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 37 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 38 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 39 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 40 uses device cpu
[2024-03-13 09:40:26,002][12256] Rollout worker 41 uses device cpu
